player_name	normalized_name
Malik Taylor	malik taylor
Bijan Robinson	bijan robinson
Jayden Higgins	jayden higgins
Scott Miller	scott miller
John Shenker	john shenker
Ryan Grant	ryan grant
Jordy Nelson	jordy nelson
Paul Perkins	paul perkins
Taylor Gabriel	taylor gabriel
Jeremy Kerley	jeremy kerley
Jesse James	jesse james
Jalen Brooks	jalen brooks
Nate Adkins	nate adkins
Kamar Aiken	kamar aiken
Antonio Williams	antonio williams
Quinshon Judkins	quinshon judkins
Dazz Newsome	dazz newsome
Lil'Jordan Humphrey	lil'jordan humphrey
Mitchell Tinsley	mitchell tinsley
Tommylee Lewis	tommylee lewis
Troy Fumagalli	troy fumagalli
Spencer Brown	spencer brown
Chester Rogers	chester rogers
David Njoku	david njoku
Sal Cannella	sal cannella
Jacory Croskey-Merritt	jacory croskey-merritt
Julian Edelman	julian edelman
Kenjon Barner	kenjon barner
Zach Pascal	zach pascal
Blake Jarwin	blake jarwin
J.K. Dobbins	jk dobbins
Stephen Sullivan	stephen sullivan
Chad Beebe	chad beebe
Josh Gordon	josh gordon
Damarea Crockett	damarea crockett
Kwamie Lassiter II	kwamie lassiter
Luke Schoonmaker	luke schoonmaker
Ben Skowronek	ben skowronek
Elliott Fry	elliott fry
Cairo Santos	cairo santos
Owen Wright	owen wright
Greg Ward	greg ward
Sutton Smith	sutton smith
Nick Kallerup	nick kallerup
Lamar Jackson	lamar jackson
Brett Hundley	brett hundley
Jon Hilliman	jon hilliman
Tip Reiman	tip reiman
Jack Bech	jack bech
James Mitchell	james mitchell
Chris Rodriguez Jr.	chris rodriguez
Tyler Allgeier	tyler allgeier
KeeSean Johnson	keesean johnson
Sebastian Janikowski	sebastian janikowski
Jonathan Ward	jonathan ward
Savion Williams	savion williams
Russell Gage	russell gage
Darren Waller	darren waller
Ronnie Rivers	ronnie rivers
Josh McCown	josh mccown
Ryan Nall	ryan nall
Bobo Wilson	bobo wilson
James O'Shaughnessy	james o'shaughnessy
Alex Tanney	alex tanney
De'Lance Turner	de'lance turner
Robbie Chosen	robbie chosen
Marvin Mims Jr.	marvin mims
Troy Hairston	troy hairston
Ja'Lynn Polk	ja'lynn polk
Kalen Ballage	kalen ballage
Derek Carrier	derek carrier
Austin Seibert	austin seibert
Malachi Corley	malachi corley
Jameson Williams	jameson williams
Antonio Brown	antonio brown
Chris Myarick	chris myarick
Hakeem Valles	hakeemalles
J.J. Jones	jj jones
Henry Ruggs III	henry ruggs
Jaren Hall	jaren hall
Dont'e Thornton Jr.	dont'e thornton
Steven Hauschka	steven hauschka
Jason Croom	jason croom
Duke Johnson	duke johnson
Russell Wilson	russell wilson
Casey Washington	casey washington
Ed Dickson	ed dickson
Kedon Slovis	kedon slovis
Matt Lengel	matt lengel
James Cook	james cook
Xavier Smith	xavier smith
Jacob Cowing	jacob cowing
Kevin Harris	kevin harris
Ryan Fitzgerald	ryan fitzgerald
Caleb Sturgis	caleb sturgis
Krishawn Hogan	krishawn hogan
Jalen Camp	jalen camp
Malik Washington	malik washington
Xavier Weaver	xavier weaver
Mack Hollins	mack hollins
Dalton Keene	dalton keene
Cooper Kupp	cooper kupp
Marlon Mack	marlon mack
Trent Taylor	trent taylor
D'Onta Foreman	d'onta foreman
Tre'Quan Smith	tre'quan smith
Chandler Catanzaro	chandler catanzaro
Jaeden Graham	jaeden graham
Robbie Gould	robbie gould
Tom Brady	tom brady
Marcus Baugh	marcus baugh
Maurice Alexander	maurice alexander
Antonio Gandy-Golden	antonio gandy-golden
Michael Pittman	michael pittman
Tony Brooks-James	tony brooks-james
Pharaoh Brown	pharaoh brown
Danny Amendola	danny amendola
Tim White	tim white
Skyy Moore	skyy moore
Maurice Ffrench	maurice ffrench
Racey McMath	racey mcmath
Josh Bellamy	josh bellamy
Brock Bowers	brock bowers
Spencer Shrader	spencer shrader
Chimere Dike	chimere dike
Dan Bailey	dan bailey
Darius Cooper	darius cooper
Dominic Lovett	dominic lovett
Byron Pringle	byron pringle
Keilan Robinson	keilan robinson
Emanuel Wilson	emanuel wilson
Joe Burrow	joe burrow
Matt Bryant	matt bryant
Keon Hatcher	keon hatcher
Austin Mack	austin mack
Kerrith Whyte	kerrith whyte
Tyrone Swoopes	tyrone swoopes
Cam Skattebo	cam skattebo
Virgil Green	virgil green
Kenny Yeboah	kenny yeboah
John Phillips	john phillips
Jerick McKinnon	jerick mckinnon
Rachaad White	rachaad white
Kayshon Boutte	kayshon boutte
Nick Keizer	nick keizer
Blake Watson	blake watson
Victor Bolden	victor bolden
Zack Moss	zack moss
Randall Cobb	randall cobb
Nick Williams	nick williams
Ulysses Bentley IV	ulysses bentley
Ke'Shawn Williams	ke'shawn williams
Ventell Bryant	ventell bryant
Doug Martin	doug martin
Malik Davis	malik davis
Allen Robinson	allen robinson
Hunter Luepke	hunter luepke
Chris Streveler	chris streveler
Deontay Burnett	deontay burnett
Erik Swoope	erik swoope
Matt Ammendola	matt ammendola
Nathan Peterman	nathan peterman
Cody Kessler	cody kessler
Keke Coutee	keke coutee
Tutu Atwell	tutu atwell
Trey Quinn	trey quinn
Irvin Charles	irvin charles
Shane Zylstra	shane zylstra
Bhayshul Tuten	bhayshul tuten
Jared Pinkney	jared pinkney
Brandon Aubrey	brandon aubrey
Ricky Pearsall	ricky pearsall
Brittain Brown	brittain brown
Ka'imi Fairbairn	ka'imi fairbairn
Dallas Goedert	dallas goedert
Taiwan Jones	taiwan jones
Sammis Reyes	sammis reyes
C.J. Board	cj board
Hunter Henry	hunter henry
Eric Tomlinson	eric tomlinson
Tahj Brooks	tahj brooks
Freddie Swain	freddie swain
Durham Smythe	durham smythe
Baylor Cupp	baylor cupp
D.J. Foster	dj foster
Tommy Sweeney	tommy sweeney
Jalen Richard	jalen richard
Lawrence Cager	lawrence cager
Laviska Shenault Jr.	laviska shenault
Tyler Boyd	tyler boyd
Isaiah Likely	isaiah likely
Ryan Miller	ryan miller
Jordan Whittington	jordan whittington
Albert Wilson	albert wilson
Noah Fant	noah fant
Jerome Cunningham	jerome cunningham
Deon Jackson	deon jackson
Noah Togiai	noah togiai
Justin Davis	justin davis
Andrew Beck	andrew beck
Damien Harris	damien harris
Gabe Davis	gabe davis
Blake Bortles	blake bortles
Theo Riddick	theo riddick
Noah Gray	noah gray
Andre Szmyt	andre szmyt
Josh Oliver	josh oliver
Justyn Ross	justyn ross
Golden Tate	golden tate
Samori Toure	samori toure
Brett Rypien	brett rypien
Tommy Hudson	tommy hudson
Marvin Hall	marvin hall
Ted Ginn	ted ginn
Jalen Tolbert	jalen tolbert
Darius Jennings	darius jennings
Dalton Kincaid	dalton kincaid
Josh Palmer	josh palmer
Isaac TeSlaa	isaac teslaa
Christian McCaffrey	christian mccaffrey
Sewo Olonilua	sewo olonilua
Hunter Renfrow	hunter renfrow
Jay Ajayi	jay ajayi
David Sills	david sills
Austin Trammell	austin trammell
Josh Jacobs	josh jacobs
Nick Mullens	nick mullens
JuJu Smith-Schuster	juju smith-schuster
Dylan Sampson	dylan sampson
Josh Hill	josh hill
Odell Beckham Jr.	odell beckham
Kaare Vedvik	kaareedvik
Jalen Coker	jalen coker
Dee Eskridge	dee eskridge
Dwayne Washington	dwayne washington
Garrett Griffin	garrett griffin
Chase Claypool	chase claypool
Jerry Jeudy	jerry jeudy
Tanner Conner	tanner conner
Jarrett Stidham	jarrett stidham
Kurt Benkert	kurt benkert
Rodney Adams	rodney adams
Brandon Bolden	brandon bolden
Ja'Tavion Sanders	ja'tavion sanders
Eli Manning	eli manning
D'Andre Swift	d'andre swift
John Bates	john bates
Stephen Carlson	stephen carlson
Blake Bell	blake bell
Anthony McFarland	anthony mcfarland
T.J. Yeldon	tj yeldon
Alvin Kamara	alvin kamara
Charlie Woerner	charlie woerner
Mitchell Evans	mitchell evans
Ko Kieft	ko kieft
Antonio Callaway	antonio callaway
Amari Cooper	amari cooper
Godwin Igwebuike	godwin igwebuike
Cameron Artis-Payne	cameron artis-payne
Jalen Hurts	jalen hurts
Rob Gronkowski	rob gronkowski
Sean Clifford	sean clifford
D'Ernest Johnson	d'ernest johnson
Justin Hardy	justin hardy
Nick Vannett	nickannett
Miles Boykin	miles boykin
Troy Franklin	troy franklin
Daurice Fountain	daurice fountain
Spencer Schnell	spencer schnell
Chris Blair	chris blair
Kene Nwangwu	kene nwangwu
Joshua Kelley	joshua kelley
Mason Rudolph	mason rudolph
Travis Etienne	travis etienne
David Moore	david moore
Cameron Meredith	cameron meredith
Zach Charbonnet	zach charbonnet
Garrett Celek	garrett celek
Jakeem Grant	jakeem grant
Isaiah Zuber	isaiah zuber
Chris Naggar	chris naggar
Nick Westbrook-Ikhine	nick westbrook-ikhine
Deon Yelder	deon yelder
Tyjae Spears	tyjae spears
Darrius Shepherd	darrius shepherd
Garrett Gilbert	garrett gilbert
Kylin Hill	kylin hill
Kyren Williams	kyren williams
Jordan Leggett	jordan leggett
Aaron Shampklin	aaron shampklin
Jelani Woods	jelani woods
Andy Jones	andy jones
Trayveon Williams	trayveon williams
Mark Andrews	mark andrews
Doug Baldwin	doug baldwin
Matthew Golden	matthew golden
Terrance Williams	terrance williams
Joe Milton III	joe milton
Jackson Hawes	jackson hawes
Jalen Tolliver	jalen tolliver
Amari Rodgers	amari rodgers
Tyrell Shavers	tyrell shavers
Olamide Zaccheaus	olamide zaccheaus
Dontayvion Wicks	dontayvion wicks
Tim Patrick	tim patrick
Romeo Doubs	romeo doubs
Mohamed Ibrahim	mohamed ibrahim
Keelan Cole	keelan cole
Colson Yankoff	colson yankoff
Will Grier	will grier
Quintez Cephus	quintez cephus
Ben Roethlisberger	ben roethlisberger
Teddy Bridgewater	teddy bridgewater
Tyron Johnson	tyron johnson
Payne Durham	payne durham
Seth Williams	seth williams
Ty Chandler	ty chandler
LaJohntay Wester	lajohntay wester
Robert Foster	robert foster
Todd Gurley	todd gurley
Chad Ryland	chad ryland
Jamaal Williams	jamaal williams
Corey Coleman	corey coleman
Spencer Ware	spencer ware
David Morgan	david morgan
MarShawn Lloyd	marshawn lloyd
Kenny McIntosh	kenny mcintosh
Antony Auclair	antony auclair
Kerryon Johnson	kerryon johnson
Bam Knight	bam knight
Melvin Gordon	melvin gordon
Darrius Heyward-Bey	darrius heyward-bey
Marcus Mariota	marcus mariota
Gunner Olszewski	gunner olszewski
Dez Fitzpatrick	dez fitzpatrick
David Johnson	david johnson
Giovani Bernard	giovani bernard
Brevin Jordan	brevin jordan
Caleb Shudak	caleb shudak
Tyler Scott	tyler scott
Quentin Johnston	quentin johnston
Kevin White	kevin white
Marvin Jones	marvin jones
Luke Falk	luke falk
Dwayne Haskins	dwayne haskins
Benjamin Watson	benjamin watson
Stone Smartt	stone smartt
Jon Brown	jon brown
Justin Hunter	justin hunter
Jonnu Smith	jonnu smith
Isaiah Hodgins	isaiah hodgins
Rodrigo Blankenship	rodrigo blankenship
Torrey Smith	torrey smith
Kearis Jackson	kearis jackson
Daniel Helm	daniel helm
Rod Williams	rod williams
Max Brosmer	max brosmer
Trevor Etienne	trevor etienne
Travis Kelce	travis kelce
Jha'Quan Jackson	jha'quan jackson
K.J. Hill	kj hill
Devlin Hodges	devlin hodges
Hunter Bryant	hunter bryant
Blake Corum	blake corum
Fred Brown	fred brown
Mike Davis	mike davis
Matt Schaub	matt schaub
Saquon Barkley	saquon barkley
Rhamondre Stevenson	rhamondre stevenson
Ronald Jones	ronald jones
DeVonta Smith	devonta smith
KJ Hamler	kj hamler
Irv Smith	irv smith
Deonte Harty	deonte harty
Theo Wease Jr.	theo wease
J'Mon Moore	j'mon moore
Josh Whyle	josh whyle
Dontrell Hilliard	dontrell hilliard
Marcus Johnson	marcus johnson
Mike Wallace	mike wallace
Alshon Jeffery	alshon jeffery
Kevin Rader	kevin rader
Derrius Guice	derrius guice
Terrell Jennings	terrell jennings
Marquise Brown	marquise brown
Mike Boone	mike boone
Jarvis Landry	jarvis landry
Jacob Harris	jacob harris
Adrian Peterson	adrian peterson
Garrett Wilson	garrett wilson
Justin Fields	justin fields
Deon Cain	deon cain
Nate Carter	nate carter
Joshua Karty	joshua karty
Taysom Hill	taysom hill
Gunnar Helm	gunnar helm
Matthew Wright	matthew wright
Brock Purdy	brock purdy
Derrick Willies	derrick willies
Anthony Brown	anthony brown
Christian Watson	christian watson
Diontae Spencer	diontae spencer
Jalen Virgil	jalenirgil
Malik Turner	malik turner
Donovan Peoples-Jones	donovan peoples-jones
Myles Gaskin	myles gaskin
Raheem Blackshear	raheem blackshear
DeeJay Dallas	deejay dallas
Josh Allen	josh allen
Jude McAtamney	jude mcatamney
Matt Gay	matt gay
Rashard Higgins	rashard higgins
Royce Freeman	royce freeman
Brayden Narveson	brayden narveson
Nick Foles	nick foles
Larry Rountree III	larry rountree
Darwin Thompson	darwin thompson
Eddy Pineiro	eddy pineiro
Tommy Stevens	tommy stevens
Drew Brees	drew brees
K.J. Osborn	kj osborn
Nick Sciba	nick sciba
Mason Kinsey	mason kinsey
Tavon Austin	tavon austin
Denzel Mims	denzel mims
Tyquan Thornton	tyquan thornton
Tristan Vizcaino	tristanizcaino
Jaydon Mickens	jaydon mickens
Tyree Jackson	tyree jackson
Tanner McKee	tanner mckee
Cole Wick	cole wick
Charles Jones	charles jones
Sean McKeon	sean mckeon
Ramel Keyton	ramel keyton
Andy Borregales	andy borregales
Giovanni Ricci	giovanni ricci
Austin Hooper	austin hooper
Bo Nix	bo nix
Sam Howell	sam howell
Coleman Owen	coleman owen
Ben Sims	ben sims
Anthony Gould	anthony gould
Paul Richardson	paul richardson
DeMario Douglas	demario douglas
James Robinson	james robinson
Brock Osweiler	brock osweiler
Luke Farrell	luke farrell
Cody Hollister	cody hollister
Gary Brightwell	gary brightwell
Jack Stoll	jack stoll
Mac Jones	mac jones
Jaxon Smith-Njigba	jaxon smith-njigba
Mason Schreck	mason schreck
Adam Prentice	adam prentice
Jaydon Blue	jaydon blue
Brayden Willis	brayden willis
Matt McCrane	matt mccrane
Sean Culkin	sean culkin
Will Shipley	will shipley
Jack Westover	jack westover
DeSean Jackson	desean jackson
Rashad Greene	rashad greene
Jake Bates	jake bates
Cole Beasley	cole beasley
John Brown	john brown
Matt LaCosse	matt lacosse
Andrew Luck	andrew luck
Joe Reed	joe reed
Jeff Smith	jeff smith
Robert Tonyan	robert tonyan
C.J. Stroud	cj stroud
Jake Haener	jake haener
Cullen Gillaspia	cullen gillaspia
Nikko Remigio	nikko remigio
A.J. Green	aj green
Treylon Burks	treylon burks
Woody Marks	woody marks
Justice Hill	justice hill
Graham Gano	graham gano
Matt Breida	matt breida
Andrew Ogletree	andrew ogletree
Dawson Knox	dawson knox
Alex Armah	alex armah
Kenneth Walker III	kenneth walker
Cade Johnson	cade johnson
Devin Duvernay	devin duvernay
Brandon Weeden	brandon weeden
Maxx Williams	maxx williams
Jeff Wilson	jeff wilson
CeeDee Lamb	ceedee lamb
Pooka Williams Jr.	pooka williams
Omarion Hampton	omarion hampton
Chris Evans	chris evans
Tyreik McAllister	tyreik mcallister
Michael Bandy	michael bandy
Alex Erickson	alex erickson
Chad Williams	chad williams
Terrace Marshall Jr.	terrace marshall
Elijah Arroyo	elijah arroyo
Jimmy Horn Jr.	jimmy horn
Mekhi Sargent	mekhi sargent
Jared Wiley	jared wiley
Grant Calcaterra	grant calcaterra
Byron Marshall	byron marshall
Keon Coleman	keon coleman
Riley McCarron	riley mccarron
Luther Burden III	luther burden
Shedeur Sanders	shedeur sanders
Travaris Cadet	travaris cadet
Alex Bachman	alex bachman
Darvin Kidsy	darvin kidsy
Chris Boswell	chris boswell
Josh Williams	josh williams
Diontae Johnson	diontae johnson
Will Mallory	will mallory
Zach Zenner	zach zenner
Jake Funk	jake funk
Neal Sterling	neal sterling
Ryan Finley	ryan finley
Brian Thomas Jr.	brian thomas
Chase Edmonds	chase edmonds
Davion Davis	davion davis
Bisi Johnson	bisi johnson
Jake Butt	jake butt
Phillip Lindsay	phillip lindsay
Tevin Jones	tevin jones
Aldrick Robinson	aldrick robinson
Sammie Coates	sammie coates
Dallin Holker	dallin holker
Jake Moody	jake moody
Donald Parham	donald parham
Antonio Gibson	antonio gibson
Braelon Allen	braelon allen
Tucker Kraft	tucker kraft
Matt Flanagan	matt flanagan
Jeremy Langford	jeremy langford
Calvin Austin III	calvin austin
Brendan Langley	brendan langley
Da'Mari Scott	da'mari scott
Emari Demercado	emari demercado
Britain Covey	britain covey
Jaret Patterson	jaret patterson
Sam Darnold	sam darnold
Brashard Smith	brashard smith
Jonathan Taylor	jonathan taylor
Lew Nichols III	lew nichols
Kaleb Johnson	kaleb johnson
Dameon Pierce	dameon pierce
Bryan Edwards	bryan edwards
Nsimba Webster	nsimba webster
Foster Moreau	foster moreau
Ashton Dulin	ashton dulin
Ashton Jeanty	ashton jeanty
Logan Woodside	logan woodside
Jalen Reagor	jalen reagor
Jimmy Garoppolo	jimmy garoppolo
Baker Mayfield	baker mayfield
Bilal Powell	bilal powell
Jake Bobo	jake bobo
Eno Benjamin	eno benjamin
Ethan Wolf	ethan wolf
Brian Quick	brian quick
Josh Reynolds	josh reynolds
Taywan Taylor	taywan taylor
Ty Johnson	ty johnson
Kareem Hunt	kareem hunt
Derek Anderson	derek anderson
Alex Collins	alex collins
Justin Jefferson	justin jefferson
Lirim Hajrullahu	lirim hajrullahu
Nikola Kalinic	nikola kalinic
Kalif Raymond	kalif raymond
Troymaine Pope	troymaine pope
Corey Davis	corey davis
Erik Ezukanma	erik ezukanma
Chris Herndon	chris herndon
Ronnie Bell	ronnie bell
Chris Conley	chris conley
Ricky Seals-Jones	ricky seals-jones
Carson Steele	carson steele
Kyle Monangai	kyle monangai
James White	james white
Ty Montgomery	ty montgomery
Robert Turbin	robert turbin
Mike Woods	mike woods
Brandon McManus	brandon mcmanus
Benny Snell	benny snell
Robert Davis	robert davis
Zane Gonzalez	zane gonzalez
Teagan Quitoriano	teagan quitoriano
Ladd McConkey	ladd mcconkey
Josh Doctson	josh doctson
Cam Ward	cam ward
Quintin Morris	quintin morris
Pharoh Cooper	pharoh cooper
Buddy Howell	buddy howell
De'Von Achane	de'von achane
Jamize Olawale	jamize olawale
Malik Heath	malik heath
JoJo Natson	jojo natson
Kenneth Gainwell	kenneth gainwell
Dante Miller	dante miller
Jashaun Corbin	jashaun corbin
Jeff Badet	jeff badet
Eli Rogers	eli rogers
Michael Floyd	michael floyd
Geoff Swaim	geoff swaim
Trey Ragas	trey ragas
Mike Gesicki	mike gesicki
D.J. Williams	dj williams
JaMycal Hasty	jamycal hasty
Roc Thomas	roc thomas
Jalen Royals	jalen royals
Amon-Ra St. Brown	amon-ra st brown
Brian Johnson	brian johnson
AJ McCarron	aj mccarron
John Parker Romo	john parker romo
Bryce Young	bryce young
Brandon Zylstra	brandon zylstra
Daniel Jones	daniel jones
Martavis Bryant	martavis bryant
Brandon Powell	brandon powell
Joey Slye	joey slye
Rex Burkhead	rex burkhead
Israel Abanikanda	israel abanikanda
Tre' McKitty	tre' mckitty
N'Keal Harry	n'keal harry
Wendell Smallwood	wendell smallwood
Rod Smith	rod smith
Cam Little	cam little
Rashee Rice	rashee rice
Jalin Hyatt	jalin hyatt
Travis Hunter	travis hunter
Darrell Henderson	darrell henderson
Tanner Gentry	tanner gentry
Wayne Gallman	wayne gallman
Mitchell Trubisky	mitchell trubisky
Randy Bullock	randy bullock
Stanley Morgan	stanley morgan
Adam Thielen	adam thielen
Isaiah Spiller	isaiah spiller
Geronimo Allison	geronimo allison
Delanie Walker	delanie walker
Darius Bradwell	darius bradwell
